beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Celis Raspberry,4813,853,Other Belgian-Style Ales,Belgian and French Ale,Michigan Brewing,1093 Highview Drive,Webberville,Michigan
Buck Naked,4864,114,American-Style Light Lager,North American Lager,Big Buck Brewery,550 South Wisconsin Avenue,Gaylord,Michigan
Fat Belly Amber,93,879,American-Style Amber/Red Ale,North American Ale,Montana Brewing,113 North Broadway,Billings,Montana
Log Cabin Nut Brown,1749,754,American-Style Brown Ale,North American Ale,Krogh's Restaurant and Brewpub,23 White Deer Plaza,Sparta,New Jersey
Golden Wheat Light,1781,1134,American-Style Lager,North American Lager,Ship Inn Brewpub,61 Bridge Street,Milford,New Jersey
1554 Enlightened Black Ale,1805,905,Other Belgian-Style Ales,Belgian and French Ale,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado
Leinenkugel's Berry Weiss,4335,708,Fruit Beer,Other Style,Jacob Leinenkugel Brewing Company,1 Jefferson Avenue,Chippewa Falls,Wisconsin
Harpoon IPA,4419,635,American-Style India Pale Ale,North American Ale,Harpoon Brewery - Windsor,336 Ruth Carney Drive,Windsor,Vermont
Imperial Eclipse Stout,4510,520,American-Style Imperial Stout,North American Ale,Fifty Fifty Brewing Co.,11197 Brockway Road,Truckee,California
Three Steve Stout,4547,1247,American-Style Stout,North American Ale,The Cambridge House,357 Salmon Brook Street,Granby,Connecticut
Saranac Single Malt,4616,512,Scotch Ale,British Ale,F.X. Matt Brewing,811 Edward Street,Utica,New York
Engine 5,4988,976,American-Style Amber/Red Ale,North American Ale,Pennichuck Brewing Company,"127 Elm St., Unit C",Milford,New Hampshire
Venus - Belgian-style Quadrupel,5113,858,Belgian-Style Quadrupel,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
JoBoy's IPA,5730,718,American-Style India Pale Ale,North American Ale,JoBoy's Brew Pub,87 Doe Run Rd,Manheim,Pennsylvania
Plead the 5th Imperial Stout,5772,426,American-Style Imperial Stout,North American Ale,Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,Michigan
Dundee Stout,5823,656,American-Style Stout,North American Ale,High Falls Brewing,445 St.Paul Street,Rochester,New York
Aurora Amber Ale,3158,32,American-Style Pale Ale,North American Ale,America's Brewing,205 North Broadway,Aurora,Illinois
Oats and Barley Stout,2569,437,American-Style Stout,North American Ale,Delafield Brewhaus,3832 Hillside Drive,Delafield,Wisconsin
Honey Creek Pale Ale,2648,1065,American-Style Pale Ale,North American Ale,Rock Bottom Restaurant & Brewery - Milwaukee,740 North Plankinton Avenue,Milwaukee,Wisconsin
